,url,title,stars,reviewers,cost,cost_2,cost_3,kindle,kindle_2,kindle_3
159,https://www.amazon.com.mx/How-Lie-Statistics-Darrell-Huff/dp/0393310728/ref=sr_1_272?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366320&sr=8-272,How to Lie with Statistics,4.5,881,254.76,238.00,254.76,,254.76,
235,https://www.amazon.com.mx/Men-Explain-Things-Rebecca-Solnit/dp/1608464660/ref=sr_1_167?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366290&sr=8-167,Men Explain Things to Me,4.5,846,158.96,217.00,,,158.96,
225,https://www.amazon.com.mx/Ascent-Money-Financial-History-World/dp/0143116177/ref=sr_1_200?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366305&sr=8-200,The Ascent of Money: A Financial History of the World: 10th Anniversary Edition,4.5,616,463.40,199.00,,,463.40,
15,https://www.amazon.com.mx/Python-Data-Analysis-Wrangling-Ipython/dp/1491957662/ref=sr_1_18?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366257&sr=8-18,"Python for Data Analysis: Data Wrangling with Pandas, Numpy, and Ipython",4.5,560,305.49,413.00,,,305.49,
274,https://www.amazon.com.mx/Deep-Learning-Python-Francois-Chollet/dp/1617294438/ref=sr_1_104?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366273&sr=8-104,Deep Learning with Python,4.5,558,153.39,,,,153.39,
244,https://www.amazon.com.mx/Book-Why-Science-Cause-Effect/dp/046509760X/ref=sr_1_158?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366290&sr=8-158,The Book of Why: The New Science of Cause and Effect,4.5,500,467.21,139.00,,,467.21,
135,https://www.amazon.com.mx/Future-Crimes-Digital-Underground-Connected/dp/0804171459/ref=sr_1_224?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366305&sr=8-224,Future Crimes: Inside the Digital Underground and the Battle for Our Connected World,4.5,451,367.48,215.24,,,367.48,
42,https://www.amazon.com.mx/Data-Science-Business-Data-Analytic-Thinking/dp/1449361323/ref=sr_1_7?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366257&sr=8-7,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking,4.5,441,119.72,269.00,119.72,,119.72,
18,https://www.amazon.com.mx/Python-Data-Science-Handbook-Essential/dp/1491912057/ref=sr_1_15?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366257&sr=8-15,Python Data Science Handbook: Essential Tools for Working with Data,4.5,255,596.14,327.00,596.14,,596.14,
271,https://www.amazon.com.mx/Big-Book-Dashboards-Visualizing-Real-World/dp/1119282713/ref=sr_1_107?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366273&sr=8-107,The Big Book of Dashboards: Visualizing Your Data Using Real-World Business Scenarios,4.5,248,097.00,634.00,,,097.00,
201,https://www.amazon.com.mx/Think-Python-Like-Computer-Scientist/dp/1491939362/ref=sr_1_248?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366320&sr=8-248,Think Python: How to Think Like a Computer Scientist,4.5,237,778.37,521.00,778.37,,778.37,
227,https://www.amazon.com.mx/Introduction-APIs-English-Brian-Cooksey-ebook/dp/B01MYOBVUA/ref=sr_1_198?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366305&sr=8-198,An Introduction to APIs (English Edition),4.5,223,,,0.00,0.00,0.00,0.00
50,https://www.amazon.com.mx/Introduction-Machine-Learning-Python-Scientists/dp/1449369413/ref=sr_1_95?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366257&sr=8-95,Introduction to Machine Learning with Python: A Guide for Data Scientists,4.5,220,283.67,384.00,283.67,,283.67,
3,https://www.amazon.com.mx/Everybody-Lies-Internet-about-Really/dp/0062390856/ref=sr_1_30?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366257&sr=8-30,"Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us about Who We Really Are",4.4,993,469.31,196.00,,,469.31,
41,https://www.amazon.com.mx/Weapons-Math-Destruction-Increases-Inequality/dp/0553418831/ref=sr_1_9?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366257&sr=8-9,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,4.4,856,393.56,139.00,,,393.56,
278,https://www.amazon.com.mx/Introduction-Algorithms-Thomas-H-Cormen/dp/0262033844/ref=sr_1_100?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366273&sr=8-100,Introduction to Algorithms,4.4,842,784.37,565.00,784.37,,784.37,
240,https://www.amazon.com.mx/Superforecasting-Professor-Psychology-Philip-Tetlock/dp/0804136718/ref=sr_1_162?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366290&sr=8-162,Superforecasting: The Art and Science of Prediction,4.4,827,389.09,249.00,,,389.09,
110,https://www.amazon.com.mx/Master-Algorithm-Ultimate-Learning-Machine/dp/0465094279/ref=sr_1_178?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366290&sr=8-178,The Master Algorithm: How the Quest for the Ultimate Learning Machine Will Remake Our World,4.4,427,463.28,139.00,463.28,,463.28,
105,https://www.amazon.com.mx/Slide-Ology-Science-Creating-Presentations/dp/0596522347/ref=sr_1_183?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366290&sr=8-183,slide:ology: The Art and Science of Creating Great Presentations by Nancy Duarte(2008-08-12),4.4,384,,340.44,,,,
7,https://www.amazon.com.mx/Computer-Science-Distilled-Computational-Problems/dp/0997316020/ref=sr_1_26?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366257&sr=8-26,Computer Science Distilled: Learn the Art of Solving Computational Problems,4.4,316,499.63,289.00,499.63,,499.63,
202,https://www.amazon.com.mx/Rules-Contagion-Things-Spread-They/dp/1541674316/ref=sr_1_247?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366320&sr=8-247,The Rules of Contagion: Why Things Spread--And Why They Stop,4.4,268,515.94,109.00,,,515.94,
0,https://www.amazon.com.mx/Data-Science-Scratch-Principles-Python/dp/1492041130/ref=sr_1_1?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366257&sr=8-1,Data Science from Scratch: First Principles with Python,4.4,223,880.66,490.00,,,880.66,
299,https://www.amazon.com.mx/Data-Smart-Science-Transform-Information/dp/111866146X/ref=sr_1_55?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366257&sr=8-55,Data Smart: Using Data Science to Transform Information Into Insight,4.4,221,008.01,719.00,,,008.01,
242,https://www.amazon.com.mx/Big-Data-Revolution-Transform-Think/dp/0544227751/ref=sr_1_160?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366290&sr=8-160,"Big Data: A Revolution That Will Transform How We Live, Work, and Think",4.2,547,370.06,76.55,,,370.06,
