,url,title,stars,reviewers,cost,cost_2,cost_3,kindle,kindle_2,kindle_3
260,https://www.amazon.com.mx/Calling-Bullshit-Skepticism-Data-Driven-World/dp/0525509186/ref=sr_1_118?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366273&sr=8-118,Calling Bullshit: The Art of Skepticism in a Data-Driven World,4.6,169,495.45,249.00,,,495.45,
25,https://www.amazon.com.mx/Numsense-Data-Science-Layman-English-ebook/dp/B01N29ZEM6/ref=sr_1_47?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366257&sr=8-47,Numsense! Data Science for the Layman: No Math Added (English Edition),4.6,158,,618.19,87.68,87.68,,87.68
195,https://www.amazon.com.mx/Microsoft-Excel-Analysis-Business-Modeling/dp/1509305882/ref=sr_1_254?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366320&sr=8-254,Microsoft Excel 2019 Data Analysis and Business Modeling,4.6,151,765.93,798.00,765.93,,765.93,
155,https://www.amazon.com.mx/Bayesian-Analysis-Professor-Department-Statistics/dp/1439840954/ref=sr_1_276?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366320&sr=8-276,Bayesian Data Analysis,4.6,113,245.32,930.01,,,245.32,
124,https://www.amazon.com.mx/Statistical-Analysis-Dummies-Joseph-Schmuller/dp/1119337062/ref=sr_1_235?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366305&sr=8-235,Statistical Analysis with R for Dummies,4.6,112,671.78,449.00,671.78,,671.78,
46,https://www.amazon.com.mx/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A05094401P0D16Y3K4D5M&url=%2FBasics-Bitcoins-Blockchains-Introduction-Cryptocurrencies-ebook%2Fdp%2FB07BWK82DC%2Fref%3Dsr_1_50_sspa%3F__mk_es_MX%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Ddata%2Bscience%26qid%3D1602366257%26sr%3D8-50-spons%26psc%3D1&qualifier=1602366257&id=6394216641886938&widgetName=sp_btf,The Basics of Bitcoins and Blockchains: An Introduction to Cryptocurrencies and the Technology that Powers Them (English Edition),4.6,100,,437.31,290.00,290.00,290.00,290.00
52,https://www.amazon.com.mx/Doing-Bayesian-Data-Analysis-Tutorial/dp/0124058884/ref=sr_1_92?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366257&sr=8-92,"Doing Bayesian Data Analysis: A Tutorial with R, Jags, and Stan",4.6,100,877.16,252.46,877.16,,877.16,
179,https://www.amazon.com.mx/Algorithms-Illuminated-Part-Graph-Structures/dp/0999282921/ref=sr_1_294?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366335&sr=8-294,Algorithms Illuminated (Part 2): Graph Algorithms and Data Structures,4.6,86,417.89,149.99,,,417.89,
140,https://www.amazon.com.mx/Por-qu%C3%A9-dormimos-Matthew-Walker/dp/607747889X/ref=sr_1_219?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366305&sr=8-219,Por qué dormimos,4.6,71,399.00,254.00,,,399.00,
170,https://www.amazon.com.mx/Trustworthy-Online-Controlled-Experiments-Practical/dp/1108724264/ref=sr_1_303?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366335&sr=8-303,Trustworthy Online Controlled Experiments: A Practical Guide to A/B Testing,4.6,46,709.78,674.44,,,709.78,
8,https://www.amazon.com.mx/Practical-Statistics-Data-Scientists-Essential/dp/149207294X/ref=sr_1_25?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366257&sr=8-25,Practical Statistics for Data Scientists: 50+ Essential Concepts Using R and Python,4.6,36,885.94,490.00,,,885.94,
177,https://www.amazon.com.mx/All-Light-We-Cannot-See/dp/1501173219/ref=sr_1_296?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366335&sr=8-296,All the Light We Cannot See,4.6,33,377.00,99.00,,,377.00,
283,https://www.amazon.com.mx/Computer-Age-Statistical-Inference-Algorithms/dp/1107149894/ref=sr_1_71?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366257&sr=8-71,"Computer Age Statistical Inference: Algorithms, Evidence, and Data Science: 5",4.6,33,,872.88,,,,
174,https://www.amazon.com.mx/Graphics-Cookbook-Practical-Recipes-Visualizing/dp/1491978600/ref=sr_1_299?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366335&sr=8-299,R Graphics Cookbook: Practical Recipes for Visualizing Data,4.6,24,451.91,375.00,,,451.91,
300,https://www.amazon.com.mx/Process-Mining-Data-Science-Action/dp/3662570416/ref=sr_1_54?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366257&sr=8-54,Process Mining: Data Science in Action,4.6,23,,986.36,,,,
233,https://www.amazon.com.mx/Learning-SQL-Generate-Manipulate-Retrieve/dp/1492057614/ref=sr_1_169?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366290&sr=8-169,"Learning SQL: Generate, Manipulate, and Retrieve Data",4.6,20,899.49,764.82,,,899.49,
23,https://www.amazon.com.mx/Naked-Statistics-Stripping-Dread-Data/dp/039334777X/ref=sr_1_10?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366257&sr=8-10,Naked Statistics: Stripping the Dread from the Data,4.5,957,393.14,290.00,393.14,,393.14,
69,https://www.amazon.com.mx/Age-Surveillance-Capitalism-Future-Frontier/dp/1541758005/ref=sr_1_76?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366257&sr=8-76,The Age of Surveillance Capitalism: The Fight for a Human Future at the New Frontier of Power,4.5,934,386.92,119.00,,,386.92,
79,https://www.amazon.com.mx/Algorithms-Live-Computer-Science-Decisions/dp/1250118360/ref=sr_1_137?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366273&sr=8-137,Algorithms to Live by: The Computer Science of Human Decisions,4.5,900,315.54,109.00,,,315.54,
159,https://www.amazon.com.mx/How-Lie-Statistics-Darrell-Huff/dp/0393310728/ref=sr_1_272?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366320&sr=8-272,How to Lie with Statistics,4.5,881,254.76,238.00,254.76,,254.76,
235,https://www.amazon.com.mx/Men-Explain-Things-Rebecca-Solnit/dp/1608464660/ref=sr_1_167?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366290&sr=8-167,Men Explain Things to Me,4.5,846,158.96,217.00,,,158.96,
225,https://www.amazon.com.mx/Ascent-Money-Financial-History-World/dp/0143116177/ref=sr_1_200?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366305&sr=8-200,The Ascent of Money: A Financial History of the World: 10th Anniversary Edition,4.5,616,463.40,199.00,,,463.40,
15,https://www.amazon.com.mx/Python-Data-Analysis-Wrangling-Ipython/dp/1491957662/ref=sr_1_18?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366257&sr=8-18,"Python for Data Analysis: Data Wrangling with Pandas, Numpy, and Ipython",4.5,560,305.49,413.00,,,305.49,
274,https://www.amazon.com.mx/Deep-Learning-Python-Francois-Chollet/dp/1617294438/ref=sr_1_104?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366273&sr=8-104,Deep Learning with Python,4.5,558,153.39,,,,153.39,
244,https://www.amazon.com.mx/Book-Why-Science-Cause-Effect/dp/046509760X/ref=sr_1_158?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366290&sr=8-158,The Book of Why: The New Science of Cause and Effect,4.5,500,467.21,139.00,,,467.21,
135,https://www.amazon.com.mx/Future-Crimes-Digital-Underground-Connected/dp/0804171459/ref=sr_1_224?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366305&sr=8-224,Future Crimes: Inside the Digital Underground and the Battle for Our Connected World,4.5,451,367.48,215.24,,,367.48,
42,https://www.amazon.com.mx/Data-Science-Business-Data-Analytic-Thinking/dp/1449361323/ref=sr_1_7?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366257&sr=8-7,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking,4.5,441,119.72,269.00,119.72,,119.72,
18,https://www.amazon.com.mx/Python-Data-Science-Handbook-Essential/dp/1491912057/ref=sr_1_15?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366257&sr=8-15,Python Data Science Handbook: Essential Tools for Working with Data,4.5,255,596.14,327.00,596.14,,596.14,
271,https://www.amazon.com.mx/Big-Book-Dashboards-Visualizing-Real-World/dp/1119282713/ref=sr_1_107?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366273&sr=8-107,The Big Book of Dashboards: Visualizing Your Data Using Real-World Business Scenarios,4.5,248,097.00,634.00,,,097.00,
201,https://www.amazon.com.mx/Think-Python-Like-Computer-Scientist/dp/1491939362/ref=sr_1_248?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366320&sr=8-248,Think Python: How to Think Like a Computer Scientist,4.5,237,778.37,521.00,778.37,,778.37,
227,https://www.amazon.com.mx/Introduction-APIs-English-Brian-Cooksey-ebook/dp/B01MYOBVUA/ref=sr_1_198?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366305&sr=8-198,An Introduction to APIs (English Edition),4.5,223,,,0.00,0.00,0.00,0.00
50,https://www.amazon.com.mx/Introduction-Machine-Learning-Python-Scientists/dp/1449369413/ref=sr_1_95?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366257&sr=8-95,Introduction to Machine Learning with Python: A Guide for Data Scientists,4.5,220,283.67,384.00,283.67,,283.67,
273,https://www.amazon.com.mx/Spark-Definitive-Guide-Processing-Simple/dp/1491912219/ref=sr_1_105?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366273&sr=8-105,Spark: The Definitive Guide: Big Data Processing Made Simple,4.5,182,283.67,681.00,,,283.67,
132,https://www.amazon.com.mx/Statistics-Done-Wrong-Woefully-Complete/dp/1593276206/ref=sr_1_226?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366305&sr=8-226,Statistics Done Wrong: The Woefully Complete Guide,4.5,152,539.33,319.00,,,539.33,
90,https://www.amazon.com.mx/Python-Finance-Mastering-Data-Driven/dp/1492024333/ref=sr_1_126?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366273&sr=8-126,Python for Finance: Mastering Data-Driven Finance,4.5,90,564.61,577.00,,,564.61,
85,https://www.amazon.com.mx/Mathematics-Machine-Learning-Peter-Deisenroth/dp/110845514X/ref=sr_1_131?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366273&sr=8-131,Mathematics for Machine Learning,4.5,81,063.76,859.94,,,063.76,
35,https://www.amazon.com.mx/Understanding-Statistics-Experimental-Design-Biosciences-ebook/dp/B07WFSMC5S/ref=sr_1_37?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366257&sr=8-37,Understanding Statistics and Experimental Design : How to Not Lie with Statistics (Learning Materials in Biosciences) (English Edition),4.5,52,,,0.00,0.00,0.00,0.00
57,https://www.amazon.com.mx/Malware-Data-Science-Detection-Attribution/dp/1593278594/ref=sr_1_87?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366257&sr=8-87,Malware Data Science: Attack Detection and Attribution,4.5,44,961.91,638.00,,,961.91,
74,https://www.amazon.com.mx/Python-Programming-Applications-Development-Including-ebook/dp/B08FDYH3YG/ref=sr_1_142?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366273&sr=8-142,"Python Programming : The Easiest Python Crash Course to Go Deep Through The Main Applications As Web Development, Data Analysis, And Data Science Including ... (computer science Book 1) (English Edition)",4.5,42,,,149.99,149.99,,149.99
26,https://www.amazon.com.mx/Numerical-Python-Scientific-Applications-Matplotlib/dp/1484242459/ref=sr_1_46?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366257&sr=8-46,"Numerical Python: Scientific Computing and Data Science Applications with Numpy, Scipy and Matplotlib",4.5,38,720.34,829.00,720.34,,720.34,
261,https://www.amazon.com.mx/Science-Projects-Python-Stephen-Klosterman/dp/1838551026/ref=sr_1_117?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366273&sr=8-117,Data Science Projects with Python,4.5,33,,708.94,,,,
106,https://www.amazon.com.mx/Kimballs-Data-Warehouse-Toolkit-Classics/dp/1118875184/ref=sr_1_182?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366290&sr=8-182,"Kimball's Data Warehouse Toolkit Classics, 3 Volume Set",4.5,26,028.92,,,,028.92,
266,https://www.amazon.com.mx/Feature-Engineering-Selection-Practical-Predictive/dp/1138079227/ref=sr_1_112?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366273&sr=8-112,Feature Engineering and Selection: A Practical Approach for Predictive Models,4.5,23,993.75,279.20,,,993.75,
154,https://www.amazon.com.mx/Visual-Complexity-Mapping-Patterns-Information/dp/1616892196/ref=sr_1_277?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366320&sr=8-277,Visual Complexity: Mapping Patterns of Information (History of Information and Data Visualization and Guide to Today's Innovative Applications),4.5,22,859.00,,859.00,,859.00,
3,https://www.amazon.com.mx/Everybody-Lies-Internet-about-Really/dp/0062390856/ref=sr_1_30?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366257&sr=8-30,"Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us about Who We Really Are",4.4,993,469.31,196.00,,,469.31,
