"url","title","stars","reviewers","cost","cost_2","cost_3","kindle","kindle_2","kindle_3"
"https://www.amazon.com.mx/Storytelling-Data-Visualization-Business-Professionals/dp/1119002257/ref=sr_1_9?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-9","
Storytelling with Data: A Data Visualization Guide for Business Professionals / Una guía de visualización de datos para profesionales de negocios
","4.6 de 5 estrellas","1,876 calificaciones","$922.58","
$485.00
",null,null,"
$922.58
",null
"https://www.amazon.com.mx/Data-Science-John-D-Kelleher/dp/0262535432/ref=sr_1_8?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-8","
Data Science
","4.4 de 5 estrellas","231 calificaciones","$338.19","
$249.00
",null,null,"
$338.19
",null
"https://www.amazon.com.mx/Intro-Python-Computer-Science-Data/dp/0135404673/ref=sr_1_7?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-7","
Intro to Python for Computer Science and Data Science: Learning to Program with Ai, Big Data and the Cloud
","4.7 de 5 estrellas","156 calificaciones","$1,508.57",null,null,null,"
$1,508.57
",null
"https://www.amazon.com.mx/Probability-Statistics-Data-Science-Math/dp/1138393290/ref=sr_1_6?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-6","
Probability and Statistics for Data Science: Math + R + Data
","4.2 de 5 estrellas","20 calificaciones","$1,279.20","
$1,139.64
",null,null,"
$1,279.20
",null
"https://www.amazon.com.mx/Data-Science-Advanced-Strategies-Business/dp/1913597466/ref=sr_1_96?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-96","
Data Science: Advanced Method And Strategies To Learn Data Science For Business
",null,null,"$165.80",null,null,null,"
$165.80
",null
"https://www.amazon.com.mx/Data-Science-Google-Cloud-Platform/dp/1491974567/ref=sr_1_95?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-95","
Data Science on the Google Cloud Platform: Implementing End-To-End Real-Time Data Pipelines: From Ingest to Machine Learning
","4.3 de 5 estrellas","44 calificaciones","$960.80","
$748.70
",null,null,"
$960.80
",null
"https://www.amazon.com.mx/Structures-Knowledge-Discovery-Classification-Organization-ebook/dp/B00X9NZLMW/ref=sr_1_93?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-93","
Data Science, Learning by Latent Structures, and Knowledge Discovery (Studies in Classification, Data Analysis, and Knowledge Organization) (English Edition)
",null,null,null,"
$3,564.78
","
$3,098.00
","
$3,098.00
","
$3,098.00
","
$3,098.00
"
"https://www.amazon.com.mx/Financial-Analytics-Building-Laboratory-Science/dp/1107150752/ref=sr_1_94?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-94","
Financial Analytics with R: Building a Laptop Laboratory for Data Science
","4.1 de 5 estrellas","17 calificaciones","$1,318.40","
$888.86
",null,null,"
$1,318.40
",null
"https://www.amazon.com.mx/Data-Science-Comprehensive-Beginners-Realms/dp/1913597067/ref=sr_1_92?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-92","
Data Science: A Comprehensive Beginners Guide to Learn the Realms of Data Science: 1
","1.0 de 5 estrellas","2 calificaciones","$342.80",null,null,null,"
$342.80
",null
"https://www.amazon.com.mx/Practical-Data-Science-Nina-Zumel/dp/1617295876/ref=sr_1_91?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-91","
Practical Data Science with R
","4.7 de 5 estrellas","18 calificaciones","$815.60",null,null,null,"
$815.60
",null
"https://www.amazon.com.mx/dp/B0932CV4L2/ref=sr_1_90?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-90","
FRANKENSTEIN or The Modern Prometheus (English Edition)
","4.6 de 5 estrellas","10,985 calificaciones",null,"
$194.25
","
$61.83
","
$61.83
",null,"
$61.83
"
