url,title,stars,reviewers,cost,cost_2,kindle,kindle_2,kindle_3
https://www.amazon.com/Predictive-Analytics-Machine-Learning-Practitioners/dp/0136738516/ref=sr_1_291?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021286&sr=8-291,"Predictive Analytics: Data Mining, Machine Learning and Data Science for Practitioners (FT Press Analytics)",5.0,3,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Hands-Data-Science-Command-Line/dp/1789132983/ref=sr_1_201?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021257&sr=8-201,Hands-On Data Science with the Command Line: Automate everyday data science tasks using command-line tools,5.0,3,0.0,18.17,0.0,0.0,0.0
https://www.amazon.com/Data-Science-Quick-Reference-Libraries/dp/1484248937/ref=sr_1_193?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021257&sr=8-193,"R Data Science Quick Reference: A Pocket Guide to APIs, Libraries, and Packages",5.0,3,0.0,31.61,0.0,37.32,0.0
https://www.amazon.com/Data-Science-Business-Decision-Making/dp/0128112166/ref=sr_1_134?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021226&sr=8-134,Data Science for Business and Decision Making,5.0,2,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Data-Governance-Definitive-Operationalize-Trustworthiness/dp/1492063495/ref=sr_1_192?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021241&sr=8-192,"Data Governance: The Definitive Guide: People, Processes, and Tools to Operationalize Data Trustworthiness",5.0,2,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Child-Data-Citizen-Companies-Profiling/dp/0262044714/ref=sr_1_232?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021257&sr=8-232,Child Data Citizen: How Tech Companies Are Profiling Us from Before Birth,5.0,2,0.0,20.36,0.0,28.01,0.0
https://www.amazon.com/Applied-Natural-Language-Processing-Workshop/dp/180020874X/ref=sr_1_223?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021257&sr=8-223,The Applied AI and Natural Language Processing Workshop: Explore practical ways to transform your simple projects into powerful intelligent applications,5.0,2,0.0,18.12,0.0,39.99,0.0
https://www.amazon.com/First-order-Stochastic-Optimization-Learning-Springer/dp/3030395677/ref=sr_1_219?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021257&sr=8-219,First-order and Stochastic Optimization Methods for Machine Learning (Springer Series in the Data Sciences),5.0,2,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Meaning-Data-Statistics-Courses-Mathematics/dp/B000RC2RP2/ref=sr_1_259?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021272&sr=8-259,Meaning from Data: Statistics Made Clear The Great Courses Science & Mathematics 2-part set/4 DVD's,5.0,2,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Becoming-Data-Head-Understand-Statistics/dp/1119741742/ref=sr_1_19?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-19,"Becoming a Data Head: How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning",5.0,1,0.0,33.55,0.0,40.0,0.0
https://www.amazon.com/DATA-SCIENCE-Beginners-Effective-Effectively-ebook/dp/B08Z41M9CW/ref=sr_1_41?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-41,DATA SCIENCE: 3 in 1- Beginner's Guide+ Simple and Effective Tips and Tricks+ Advanced Guide to Learn the Realms of Data Science Effectively,5.0,1,0.0,49.99,7.51,7.51,7.51
https://www.amazon.com/Data-Mining-Concepts-Methodologies-Applications-4/dp/1466624558/ref=sr_1_226?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021257&sr=8-226,"Data Mining: Concepts, Methodologies, Tools, and Applications-4 Volume set",5.0,1,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Statistical-Foundations-Data-Science-Chapman-ebook/dp/B08HJQBGQK/ref=sr_1_209?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021257&sr=8-209,Statistical Foundations of Data Science (Chapman & Hall/CRC Data Science Series),5.0,1,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Science-Machine-Learning-Interview-Questions/dp/938984584X/ref=sr_1_200?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021257&sr=8-200,Data Science and Machine Learning Interview Questions Using R: Crack the Data Scientist and Machine Learning Engineers Interviews with Ease (English Edition),5.0,1,0.0,8.14,0.0,19.95,0.0
https://www.amazon.com/Data-Science-Decision-Makers-Professionals/dp/9082809176/ref=sr_1_151?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021241&sr=8-151,"Data Science for Decision Makers & Data Professionals: Creating an Intelligent, Data-Driven Organization with AI, BI & Big Data",5.0,1,0.0,24.98,0.0,28.99,0.0
https://www.amazon.com/Political-Data-Science-Practical-Chapman/dp/0367818892/ref=sr_1_97?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021226&sr=8-97,R for Political Data Science: A Practical Guide (Chapman & Hall/CRC The R Series),5.0,1,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/16-2-Building-Web-Search-Engine/dp/B06XPQZSKL/ref=sr_1_57?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021211&sr=8-57,nan,5.0,0,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Feminism-Strong-Ideas-Catherine-DIgnazio/dp/0262044005/ref=sr_1_296?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021286&sr=8-296,Data Feminism (Strong Ideas),4.9,123,0.0,23.88,0.0,0.0,0.0
https://www.amazon.com/Common-Sense-Guide-Structures-Algorithms-Second/dp/1680507222/ref=sr_1_34?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-34,"A Common-Sense Guide to Data Structures and Algorithms, Second Edition: Level Up Your Core Programming Skills",4.9,89,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Hands-Introduction-Data-Science/dp/1108472443/ref=sr_1_13?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-13,A Hands-On Introduction to Data Science,4.9,31,0.0,0.0,0.0,0.0,0.0
