url,title,stars,reviewers,cost,cost_2,kindle,kindle_2,kindle_3
https://www.amazon.com/Complete-Sherlock-Holmes-Arthur-Conan-ebook/dp/B092D76JRW/ref=sr_1_147?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021241&sr=8-147,The Complete Sherlock Holmes,4.7,386,0,0,0,0.99,0
https://www.amazon.com/Biology-Cancer-2nd-Robert-Weinberg/dp/0815342209/ref=sr_1_225?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021257&sr=8-225,"The Biology of Cancer, 2nd Edition",4.7,299,0,0,0,0,0
https://www.amazon.com/Mathematics-Machine-Learning-Peter-Deisenroth/dp/110845514X/ref=sr_1_234?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021257&sr=8-234,Mathematics for Machine Learning,4.7,254,0,0,0,0,0
https://www.amazon.com/Intro-Python-Computer-Science-Data/dp/0135404673/ref=sr_1_24?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-24,"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud",4.7,164,0,0,0,0,0
https://www.amazon.com/Trustworthy-Online-Controlled-Experiments-Practical/dp/1108724264/ref=sr_1_287?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021272&sr=8-287,Trustworthy Online Controlled Experiments: A Practical Guide to A/B Testing,4.7,151,0,0,0,0,0
https://www.amazon.com/Data-Driven-Science-Engineering-Learning-Dynamical/dp/1108422098/ref=sr_1_22?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-22,"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control",4.7,126,0,0,0,0,0
https://www.amazon.com/Analyzing-Neural-Time-Data-Practice/dp/0262019876/ref=sr_1_270?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021272&sr=8-270,Analyzing Neural Time Series Data: Theory and Practice (The MIT Press),4.7,73,0,58.42,0,65.53,0
https://www.amazon.com/Analyzing-Baseball-Data-Second-Chapman/dp/0815353510/ref=sr_1_111?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021226&sr=8-111,"Analyzing Baseball Data with R, Second Edition (Chapman & Hall/CRC The R Series)",4.7,46,0,0,0,0,0
https://www.amazon.com/High-Dimensional-Probability-Introduction-Applications-Probabilistic/dp/1108415199/ref=sr_1_177?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021241&sr=8-177,"High-Dimensional Probability: An Introduction with Applications in Data Science (Cambridge Series in Statistical and Probabilistic Mathematics, Series Number 47)",4.7,36,0,0,0,0,0
https://www.amazon.com/Python-Data-Science-Step-Step-ebook/dp/B08WYF4SFF/ref=sr_1_29?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-29,Python for Data Science: The Ultimate Step-by-Step Guide to Python Programming. Discover How to Master Big Data Analysis and Understand Machine Learning,4.7,22,0,18.95,7.53,7.53,7.53
https://www.amazon.com/Fundamentals-Machine-Learning-Predictive-Analytics/dp/0262044692/ref=sr_1_150?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021241&sr=8-150,"Fundamentals of Machine Learning for Predictive Data Analytics, second edition: Algorithms, Worked Examples, and Case Studies",4.7,21,0,0,0,0,0
https://www.amazon.com/Data-Science-Machine-Learning-Mathematical/dp/1138492531/ref=sr_1_38?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-38,Data Science and Machine Learning: Mathematical and Statistical Methods (Chapman & Hall/Crc Machine Learning & Pattern Recognition),4.7,20,0,0,0,0,0
https://www.amazon.com/Educational-Leaders-Guide-Improvement-Science/dp/1975500954/ref=sr_1_245?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021272&sr=8-245,"The Educational Leader's Guide to Improvement Science: Data, Design and Cases for Reflection (Improvement Science in Education and Beyond)",4.7,16,0,34.48,0,42.95,0
https://www.amazon.com/Humanizing-Big-Data-Marketing-Consumer/dp/0749472111/ref=sr_1_205?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021257&sr=8-205,"Humanizing Big Data: Marketing at the Meeting of Data, Social Science and Consumer Insight",4.7,10,0,36.5,0,38.62,0
https://www.amazon.com/Hundred-Page-Machine-Learning-Book/dp/199957950X/ref=sr_1_139?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021226&sr=8-139,The Hundred-Page Machine Learning Book,4.6,652,0,0,0,0,0
https://www.amazon.com/Calling-Bullshit-Skepticism-Data-Driven-World/dp/0525509208/ref=sr_1_187?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021241&sr=8-187,Calling Bullshit: The Art of Skepticism in a Data-Driven World,4.6,542,0,12.47,0,0,0
https://www.amazon.com/Grokking-Algorithms-illustrated-programmers-curious/dp/1617292230/ref=sr_1_125?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021226&sr=8-125,Grokking Algorithms: An Illustrated Guide for Programmers and Other Curious People,4.6,510,0,0,0,0,0
https://www.amazon.com/Introduction-Computation-Programming-Using-Python/dp/0262529629/ref=sr_1_148?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021241&sr=8-148,Introduction to Computation and Programming Using Python (With Application to Understanding Data),4.6,402,0,0,0,0,0
https://www.amazon.com/Python-Data-Science-Handbook-Essential/dp/1491912057/ref=sr_1_3?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-3,Python Data Science Handbook: Essential Tools for Working with Data,4.6,395,0,0,0,0,0
https://www.amazon.com/Numsense-Data-Science-Layman-Added-ebook/dp/B01N29ZEM6/ref=sr_1_110?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021226&sr=8-110,Numsense! Data Science for the Layman: No Math Added,4.6,236,0,28.99,4.39,4.39,4.39
https://www.amazon.com/Numsense-Data-Science-Layman-Added-ebook/dp/B01N29ZEM6/ref=sr_1_69?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021211&sr=8-69,Numsense! Data Science for the Layman: No Math Added,4.6,236,0,28.99,4.39,4.39,4.39
