url,title,stars,reviewers,cost,cost_2,cost_3,kindle,kindle_2,kindle_3
https://www.amazon.com.mx/Malware-Data-Science-Detection-Attribution/dp/1593278594/ref=sr_1_56?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-56,Malware Data Science: Attack Detection and Attribution,4.5,59,896.97,633.37,0,0,896.97,0
https://www.amazon.com.mx/Data-Science-Mindset-Methodologies-Misconceptions/dp/1634622561/ref=sr_1_171?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021569&sr=8-171,"Data Science: Mindset, Methodologies, and Misconceptions",0,0,885.66,806.73,0,0,885.66,0
https://www.amazon.com.mx/Purely-Functional-Structures-Chris-Okasaki/dp/0521663504/ref=sr_1_204?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021584&sr=8-204,Purely Functional Data Structures,4.4,46,872.8,629.74,0,0,872.8,0
https://www.amazon.com.mx/Fundamentals-Data-Visualization-Informative-Compelling/dp/1492031089/ref=sr_1_278?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021599&sr=8-278,Fundamentals of Data Visualization: A Primer on Making Informative and Compelling Figures,4.5,105,872.6,610.8,0,0,872.6,0
https://www.amazon.com.mx/Data-Science-Machine-Learning-Mathematical/dp/1138492531/ref=sr_1_75?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-75,Data Science and Machine Learning: Mathematical and Statistical Methods,4.7,18,861.2,680,0,0,861.2,0
https://www.amazon.com.mx/Analytical-Skills-Data-Science-Enterprise/dp/1492060941/ref=sr_1_10?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-10,Analytical Skills for AI and Data Science: Building Skills for an Ai-Driven Enterprise,4.6,11,854.2,577,0,0,854.2,0
https://www.amazon.com.mx/Beginning-Mathematica-Wolfram-Data-Science/dp/1484265939/ref=sr_1_49?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-49,"Beginning Mathematica and Wolfram for Data Science: Applications in Data Analysis, Machine Learning, and Neural Networks",5,1,844.13,714.03,0,0,844.13,0
https://www.amazon.com.mx/Hands-Machine-Learning-Scikit-Learn-Tensorflow/dp/1492032646/ref=sr_1_300?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021615&sr=8-300,"Hands-On Machine Learning with Scikit-Learn, Keras, and Tensorflow: Concepts, Tools, and Techniques to Build Intelligent Systems",4.8,1,841.25,577,0,0,841.25,0
https://www.amazon.com.mx/Pandas-Everyone-Python-Data-Analysis/dp/0134546938/ref=sr_1_228?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021584&sr=8-228,Pandas for Everyone: Python Data Analysis,4.4,163,837.6,509,0,0,837.6,0
https://www.amazon.com.mx/Practitioners-Guide-Graph-Data/dp/1492044075/ref=sr_1_291?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021615&sr=8-291,The Practitioner's Guide to Graph Data: Applying Graph Thinking and Graph Technologies to Solve Complex Problems,4.5,41,835,730.6,0,0,835,0
