url,title,stars,reviewers,cost,cost_2,cost_3,kindle,kindle_2,kindle_3
https://www.amazon.com.mx/Data-Science-Scratch-Everything-Applications/dp/3903331554/ref=sr_1_30?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-30,"Data Science From Scratch: The #1 Data Science Guide For Everything A Data Scientist Needs To Know: Python, Linear Algebra, Statistics, Coding, Applications, Neural Networks, And Decision Trees",3.5,26,539.8,55.58,0.0,0.0,539.8,0.0
https://www.amazon.com.mx/Data-Structures-Algorithms-JavaScript-Approaches/dp/1449364934/ref=sr_1_147?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021569&sr=8-147,Data Structures and Algorithms with JavaScript: Bringing Classic Computing Approaches to the Web,3.4,20,770.79,307.0,0.0,0.0,770.79,0.0
https://www.amazon.com.mx/Python-Beginners-Programming-Step-Step/dp/1914176421/ref=sr_1_194?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021584&sr=8-194,"Python: 4 Books in 1: Ultimate Beginner's Guide, 7 Days Crash Course, Advanced Guide, and Data Science, Learn Computer Programming and Machine Learning with Step-by-Step Exercises",3.3,14,234.8,0.0,0.0,0.0,234.8,0.0
https://www.amazon.com.mx/Python-Programming-Analysis-Statistics-Learning/dp/180125527X/ref=sr_1_128?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021554&sr=8-128,"Python Programming: This Book Includes: Python for Data Analysis and Science with Big Data Analysis, Statistics and Machine Learning",3.3,3,522.91,0.0,0.0,0.0,522.91,0.0
https://www.amazon.com.mx/Python-computer-programming-artificial-intelligence/dp/9918951249/ref=sr_1_158?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021569&sr=8-158,"Python: 2 BOOKS in 1: Learn the art of computer programming with the most complete crash course for data science. Master as a pro machine learning, ... artificial intelligence and Arduino in 7 days",3.3,3,219.0,608.23,0.0,0.0,219.0,0.0
https://www.amazon.com.mx/Machine-Learning-Algorithmic-Trading-intelligence/dp/9918608013/ref=sr_1_288?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021599&sr=8-288,Machine Learning for Algorithmic Trading: Master as a PRO applied artificial intelligence and Python for predict systematic strategies for options and stocks. Learn data-driven finance using keras,2.4,4,345.0,0.0,0.0,0.0,345.0,0.0
https://www.amazon.com.mx/Data-Science-Cyber-Security-Niall-Adams/dp/1786345633/ref=sr_1_32?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-32,Data Science for Cyber-Security: 3,2.0,1,285.18,522.77,0.0,0.0,285.18,0.0
https://www.amazon.com.mx/Python-Data-Analysis-Essential-Visualization/dp/1951845137/ref=sr_1_78?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-78,"Python For Data Analysis: A Complete Crash Course on Python for Data Science to Learn Essential Tools and Python Libraries, NumPy, Pandas, Jupyter Notebook, Analysis and Visualization",2.0,1,279.4,0.0,0.0,0.0,279.4,0.0
https://www.amazon.com.mx/JavaScript-Data-Science-Maya-Gans/dp/0367426528/ref=sr_1_181?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021569&sr=8-181,JavaScript for Data Science,2.0,1,668.4,959.2,0.0,0.0,668.4,0.0
https://www.amazon.com.mx/Data-Science-Comprehensive-Beginners-Realms/dp/1913597067/ref=sr_1_92?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-92,Data Science: A Comprehensive Beginners Guide to Learn the Realms of Data Science: 1,1.0,2,342.8,0.0,0.0,0.0,342.8,0.0
https://www.amazon.com.mx/Data-Science-Finance-Irene-Aldridge/dp/111960298X/ref=sr_1_34?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-34,Big Data Science in Finance,1.0,1,499.8,820.0,0.0,0.0,499.8,0.0
https://www.amazon.com.mx/Ciencia-Datos-completa-principiantes-aprender/dp/1913597237/ref=sr_1_149?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021569&sr=8-149,Ciencia de Datos: Guía completa para principiantes para aprender los reinos de la ciencia de datos: 1,1.0,1,412.0,0.0,0.0,0.0,412.0,0.0
https://www.amazon.com.mx/Data-Science-Programming-Predictive-Hands/dp/1914176324/ref=sr_1_69?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-69,"Data Science: 2 Books in 1: Python Programming & Python for Data Science, The Ultimate Guide to Learn Machine Learning and Predictive Analytics from Scratch with Hands-On Projects",1.0,1,211.6,0.0,0.0,0.0,211.6,0.0
