url,title,stars,reviewers,cost,cost_2,cost_3,kindle,kindle_2,kindle_3
https://www.amazon.com.mx/Date-Live-Vol-Light-Novel/dp/1975319915/ref=sr_1_257?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021599&sr=8-257,"Date a Live, Vol. 1 (Light Novel): Dead-End Tohka",4.9,29,274.19,179.27,0.0,0.0,274.19,0.0
https://www.amazon.com.mx/Interactive-Web-Based-Visualization-Plotly-Shiny/dp/1138331457/ref=sr_1_264?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021599&sr=8-264,"Interactive Web-Based Data Visualization with R, Plotly, and Shiny",4.9,11,499.0,279.2,0.0,0.0,499.0,0.0
https://www.amazon.com.mx/Probability-Statistics-Science-Machine-Learning-ebook/dp/B08L2V4GBG/ref=sr_1_125?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021554&sr=8-125,Probability and Statistics for Data Science & Machine Learning (English Edition),4.9,10,0.0,0.0,149.99,149.99,149.99,149.99
https://www.amazon.com.mx/Statistics-Solving-Problems-Using-Real-World/dp/1506388159/ref=sr_1_280?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021599&sr=8-280,Statistics with R: Solving Problems Using Real-World Data,4.9,10,500.0,19.0,0.0,0.0,500.0,0.0
https://www.amazon.com.mx/Data-Science-Design-Manual/dp/3319554433/ref=sr_1_251?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021599&sr=8-251,The Data Science Design Manual,4.8,37,98.79,145.42,0.0,0.0,98.79,0.0
https://www.amazon.com.mx/Build-Career-Science-Jacqueline-Nolis/dp/1617296244/ref=sr_1_29?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-29,Build a Career in Data Science,4.8,34,759.8,0.0,0.0,0.0,759.8,0.0
https://www.amazon.com.mx/Python-Data-Science-Step-Step-ebook/dp/B08WYF4SFF/ref=sr_1_108?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021554&sr=8-108,Python for Data Science: The Ultimate Step-by-Step Guide to Python Programming. Discover How to Master Big Data Analysis and Understand Machine Learning (English Edition),4.8,20,0.0,0.0,149.99,149.99,0.0,149.99
https://www.amazon.com.mx/Elitech-STC-1000-impermeable-registrador-temperatura/dp/B074DR6LJ2/ref=sr_1_299?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021615&sr=8-299,"Elitech RC-51H PDF Registrador de Datos de Temperatura y Humedad, USB Registrador Tester Points Pen Style, 32000 Puntos de Registro, Data Logger para Transporte de Alimentos, medicamentos",4.8,7,0.0,0.0,200.0,0.0,0.0,0.0
https://www.amazon.com.mx/Hands-Machine-Learning-Scikit-Learn-Tensorflow/dp/1492032646/ref=sr_1_300?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021615&sr=8-300,"Hands-On Machine Learning with Scikit-Learn, Keras, and Tensorflow: Concepts, Tools, and Techniques to Build Intelligent Systems",4.8,1,841.25,577.0,0.0,0.0,841.25,0.0
https://www.amazon.com.mx/Categorical-Data-Analysis-Alan-Agresti/dp/0470463635/ref=sr_1_168?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021569&sr=8-168,Categorical Data Analysis: 792,4.7,49,747.12,592.8,0.0,0.0,747.12,0.0
