url,title,stars,reviewers,cost,cost_2,cost_3,kindle,kindle_2,kindle_3
https://www.amazon.com.mx/Categorical-Data-Analysis-Alan-Agresti/dp/0470463635/ref=sr_1_168?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021569&sr=8-168,Categorical Data Analysis: 792,4.7,49,747.12,592.8,0,0,747.12,0
https://www.amazon.com.mx/Programming-Skills-Data-Science-Visualize/dp/0135133106/ref=sr_1_105?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021554&sr=8-105,Data Science Foundations Tools and Techniques: Core Skills for Quantitative Analysis with R and Git,4.7,30,945.42,630.48,0,0,945.42,0
https://www.amazon.com.mx/Better-Data-Visualizations-Scholars-Researchers/dp/0231193114/ref=sr_1_139?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021554&sr=8-139,"Better Data Visualizations: A Guide for Scholars, Researchers, and Wonks",4.7,28,0,87.47,0,0,0,0
https://www.amazon.com.mx/Splunk-Operational-Intelligence-Cookbook-Diakun/dp/1788835239/ref=sr_1_216?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021584&sr=8-216,"Splunk Operational Intelligence Cookbook: Over 80 recipes for transforming your data into business-critical insights using Splunk, 3rd Edition",4.7,23,115.26,610.64,0,0,115.26,0
https://www.amazon.com.mx/All-Ghosts-Machine-Afterlife-Personal/dp/1472141903/ref=sr_1_197?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021584&sr=8-197,All the Ghosts in the Machine: The Digital Afterlife of Your Personal Data,4.7,21,0,73.8,0,0,0,0
https://www.amazon.com.mx/Fundamentals-Machine-Learning-Predictive-Analytics/dp/0262044692/ref=sr_1_70?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-70,"Fundamentals of Machine Learning for Predictive Data Analytics, Second Edition: Algorithms, Worked Examples, and Case Studies",4.7,20,501.4,278.03,0,0,501.4,0
https://www.amazon.com.mx/Practical-Data-Science-Nina-Zumel/dp/1617295876/ref=sr_1_91?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-91,Practical Data Science with R,4.7,18,815.6,0,0,0,815.6,0
https://www.amazon.com.mx/Data-Science-Machine-Learning-Mathematical/dp/1138492531/ref=sr_1_75?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-75,Data Science and Machine Learning: Mathematical and Statistical Methods,4.7,18,861.2,680,0,0,861.2,0
https://www.amazon.com.mx/SQL-Cookbook-Query-Solutions-Techniques/dp/1492077445/ref=sr_1_239?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021584&sr=8-239,SQL Cookbook: Query Solutions and Techniques for All SQL Users,4.7,18,902,746.3,0,0,902,0
https://www.amazon.com.mx/Introduction-Data-Science-Prediction-Algorithms/dp/0367357984/ref=sr_1_25?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-25,Introduction to Data Science: Data Analysis and Prediction Algorithms with R,4.7,16,999,599.2,0,0,999,0
https://www.amazon.com.mx/Data-Action-Using-Public-Good/dp/0262044196/ref=sr_1_192?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021569&sr=8-192,Data Action: Using Data for Public Good,4.7,15,619.8,499,0,0,619.8,0
https://www.amazon.com.mx/PYTHON-Programming-Intelligence-Step-Step-ebook/dp/B08W3MMN54/ref=sr_1_66?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-66,"PYTHON: Programming & Data Science - The Fastest Way to Become Proficient in Data Analysis, Artificial Intelligence, and Machine Learning, with Step-by-Step ... Beginners (2 Books in 1) (English Edition)",4.7,15,0,0,149.99,149.99,0,149.99
https://www.amazon.com.mx/Python-Data-Analysis-Manipulation-Visualization/dp/B08K3WF1PS/ref=sr_1_161?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021569&sr=8-161,"Python for Data Analysis: A Practical Guide You Can't Miss to Master Data Using Python. Key Tools for Data Science, Introducing You Into Data Manipulation, Data Visualization, Machine Learning.",4.7,11,0,0,0,0,0,0
https://www.amazon.com.mx/Practical-Data-Science-Hadoop-Spark/dp/0134024141/ref=sr_1_142?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021554&sr=8-142,Practical Data Science with Hadoop and Spark: Designing and Building Effective Analytics at Scale,4.7,10,821.18,519.27,0,0,821.18,0
https://www.amazon.com.mx/Python-Data-Analysis-Wrangling-Ipython/dp/1491957662/ref=sr_1_12?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-12,"Python for Data Analysis: Data Wrangling with Pandas, Numpy, and Ipython",4.6,990,228.93,413,0,0,228.93,0
https://www.amazon.com.mx/Programming-Computations-Introduction-Simulations-Computational-ebook/dp/B078YGVNSF/ref=sr_1_59?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-59,Programming for Computations - Python: A Gentle Introduction to Numerical Simulations with Python (Texts in Computational Science and Engineering Book 15) (English Edition),4.6,760,0,0,0,0,0,0
https://www.amazon.com.mx/Numsense-Data-Science-Layman-Added/dp/9811110689/ref=sr_1_116?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021554&sr=8-116,Numsense! Data Science for the Layman: No Math Added,4.6,202,579.8,0,0,0,579.8,0
https://www.amazon.com.mx/Python-Finance-Mastering-Data-Driven/dp/1492024333/ref=sr_1_229?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021584&sr=8-229,Python for Finance: Mastering Data-Driven Finance,4.6,176,222.9,865.22,0,0,222.9,0
https://www.amazon.com.mx/Learning-SQL-Generate-Manipulate-Retrieve/dp/1492057614/ref=sr_1_144?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021554&sr=8-144,"Learning SQL: Generate, Manipulate, and Retrieve Data",4.6,101,657.6,737.79,0,0,657.6,0
https://www.amazon.com.mx/Learning-SQL-Generate-Manipulate-Retrieve/dp/1492057614/ref=sr_1_145?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021569&sr=8-145,"Learning SQL: Generate, Manipulate, and Retrieve Data",4.6,101,657.6,737.79,0,0,657.6,0
https://www.amazon.com.mx/Machine-Learning-Design-Patterns-Preparation/dp/1098115783/ref=sr_1_177?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021569&sr=8-177,"Machine Learning Design Patterns: Solutions to Common Challenges in Data Preparation, Model Building, and Mlops",4.6,78,763.65,725.36,0,0,763.65,0
https://www.amazon.com.mx/Learning-Tableau-2020-visualizations-organization/dp/1800200366/ref=sr_1_240?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021584&sr=8-240,"Learning Tableau 2020 - Fourth Edition: Create effective data visualizations, build interactive visual analytics, and transform your organization",4.6,60,0,509,0,0,0,0
https://www.amazon.com.mx/Google-Bigquery-Definitive-Warehousing-Analytics/dp/1492044466/ref=sr_1_236?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021584&sr=8-236,"Google Bigquery: The Definitive Guide: Data Warehousing, Analytics, and Machine Learning at Scale",4.6,53,829.8,748.7,0,0,829.8,0
